date,open,high,low,close
2017-09-01,383.47,390.04,383.47,387.74
2017-09-02,387.82,389.35,328.1,348.98
2017-09-03,350.23,366.49,332.23,347.48
2017-09-04,347.13,347.13,279.94,295.17
2017-09-05,297.57,318.57,268.29,312.99
2017-09-06,313.8,334.66,313.49,334.34
2017-09-07,333.52,333.52,319.94,329.43
2017-09-08,329.64,329.64,285.16,296.5
2017-09-09,296.17,299.89,287.22,294.4
2017-09-10,294.06,294.76,268.97,288.75
2017-09-11,289.75,300.69,286.69,294.53
2017-09-12,294.63,311.19,287.23,291.46
2017-09-13,291.12,291.12,260.61,277.11
2017-09-14,276.59,280.84,213.91,213.91
2017-09-15,215.22,258.65,195.03,250.46
2017-09-16,250.87,262.59,238.22,246.52
2017-09-17,245.85,257.0,235.24,251.75
2017-09-18,252.23,293.5,252.23,293.5
2017-09-19,293.66,295.77,274.48,282.8
2017-09-20,282.01,290.89,278.05,283.74
2017-09-21,283.26,286.61,255.02,258.58
2017-09-22,258.11,270.54,256.22,264.31
2017-09-23,264.6,286.17,261.12,286.17
2017-09-24,286.21,292.95,278.13,282.48
2017-09-25,282.22,293.51,281.88,292.33
2017-09-26,292.35,293.75,287.02,287.44
2017-09-27,287.02,308.01,286.82,306.47
2017-09-28,306.47,307.2,295.47,299.15
2017-09-29,299.12,299.92,279.77,291.47
2017-09-30,291.48,303.96,291.11,301.46
2017-10-01,301.55,303.19,295.06,302.34
2017-10-02,302.48,302.92,294.58,297.48
2017-10-03,297.48,300.11,288.13,292.46
2017-10-04,292.75,299.39,290.89,292.66
2017-10-05,292.77,298.04,288.84,295.86
2017-10-06,295.15,308.84,294.95,308.59
2017-10-07,308.89,313.13,304.98,311.12
2017-10-08,311.06,312.54,308.03,308.61
2017-10-09,308.67,309.31,288.19,297.39
2017-10-10,297.6,306.15,293.17,299.87
2017-10-11,301.18,304.39,299.1,303.46
2017-10-12,303.5,309.15,303.29,304.14
2017-10-13,304.08,348.6,299.66,338.76
2017-10-14,338.85,347.98,334.7,339.63
2017-10-15,339.53,342.72,320.43,336.6
2017-10-16,336.71,349.35,332.04,333.38
2017-10-17,333.48,333.48,311.79,317.08
2017-10-18,316.94,317.24,290.64,314.32
2017-10-19,314.54,316.71,305.83,308.09
2017-10-20,308.05,311.44,303.49,304.01
2017-10-21,303.57,303.93,291.77,300.19
2017-10-22,300.55,305.5,292.81,295.45
